TERYT;Wojewodztwo;Powiat;Gmina;Rodzaj gminy;Nazwa;Nazwa typu jednostki;Stan na 
1609084;16;09;08;4;Ozimek;miasto;2010-01-01
1609085;16;09;08;5;Ozimek;obszar wiejski;2010-01-01
1609092;16;09;09;2;Popielów;gmina wiejska;2010-01-01
1609103;16;09;10;3;Prószków;gmina miejsko-wiejska;2010-01-01
1609104;16;09;10;4;Prószków;miasto;2010-01-01
1609105;16;09;10;5;Prószków;obszar wiejski;2010-01-01
1609112;16;09;11;2;Tarnów Opolski;gmina wiejska;2010-01-01
1609122;16;09;12;2;Tułowice;gmina wiejska;2010-01-01
1609132;16;09;13;2;Turawa;gmina wiejska;2010-01-01
1610000;16;10;00;0;prudnicki;powiat;2010-01-01
1610013;16;10;01;3;Biała;gmina miejsko-wiejska;2010-01-01
1610014;16;10;01;4;Biała;miasto;2010-01-01
1610015;16;10;01;5;Biała;obszar wiejski;2010-01-01
1610023;16;10;02;3;Głogówek;gmina miejsko-wiejska;2010-01-01
1610024;16;10;02;4;Głogówek;miasto;2010-01-01
1610025;16;10;02;5;Głogówek;obszar wiejski;2010-01-01
1610032;16;10;03;2;Lubrza;gmina wiejska;2010-01-01
1610043;16;10;04;3;Prudnik;gmina miejsko-wiejska;2010-01-01
1610044;16;10;04;4;Prudnik;miasto;2010-01-01
1610045;16;10;04;5;Prudnik;obszar wiejski;2010-01-01
1611000;16;11;00;0;strzelecki;powiat;2010-01-01
1611012;16;11;01;2;Izbicko;gmina wiejska;2010-01-01
1611022;16;11;02;2;Jemielnica;gmina wiejska;2010-01-01
1611033;16;11;03;3;Kolonowskie;gmina miejsko-wiejska;2010-01-01
1611034;16;11;03;4;Kolonowskie;miasto;2010-01-01
1611035;16;11;03;5;Kolonowskie;obszar wiejski;2010-01-01
1611043;16;11;04;3;Leśnica;gmina miejsko-wiejska;2010-01-01
1611044;16;11;04;4;Leśnica;miasto;2010-01-01
1611045;16;11;04;5;Leśnica;obszar wiejski;2010-01-01
1611053;16;11;05;3;Strzelce Opolskie;gmina miejsko-wiejska;2010-01-01
1611054;16;11;05;4;Strzelce Opolskie;miasto;2010-01-01
1611055;16;11;05;5;Strzelce Opolskie;obszar wiejski;2010-01-01
1611063;16;11;06;3;Ujazd;gmina miejsko-wiejska;2010-01-01
1611064;16;11;06;4;Ujazd;miasto;2010-01-01
1611065;16;11;06;5;Ujazd;obszar wiejski;2010-01-01
1611073;16;11;07;3;Zawadzkie;gmina miejsko-wiejska;2010-01-01
1611074;16;11;07;4;Zawadzkie;miasto;2010-01-01
1611075;16;11;07;5;Zawadzkie;obszar wiejski;2010-01-01
1661000;16;61;00;0;Opole;miasto na prawach powiatu;2010-01-01
1661011;16;61;01;1;Opole;gmina miejska;2010-01-01
1800000;18;00;00;0;PODKARPACKIE;województwo;2010-01-01
1801000;18;01;00;0;bieszczadzki;powiat;2010-01-01
1801032;18;01;03;2;Czarna;gmina wiejska;2010-01-01
1801052;18;01;05;2;Lutowiska;gmina wiejska;2010-01-01
1801083;18;01;08;3;Ustrzyki Dolne;gmina miejsko-wiejska;2010-01-01
1801084;18;01;08;4;Ustrzyki Dolne;miasto;2010-01-01
1801085;18;01;08;5;Ustrzyki Dolne;obszar wiejski;2010-01-01
1802000;18;02;00;0;brzozowski;powiat;2010-01-01
1802013;18;02;01;3;Brzozów;gmina miejsko-wiejska;2010-01-01
1802014;18;02;01;4;Brzozów;miasto;2010-01-01
1802015;18;02;01;5;Brzozów;obszar wiejski;2010-01-01
1802022;18;02;02;2;Domaradz;gmina wiejska;2010-01-01
1802032;18;02;03;2;Dydnia;gmina wiejska;2010-01-01
1802042;18;02;04;2;Haczów;gmina wiejska;2010-01-01
1802052;18;02;05;2;Jasienica Rosielna;gmina wiejska;2010-01-01
1802062;18;02;06;2;Nozdrzec;gmina wiejska;2010-01-01
1803000;18;03;00;0;dębicki;powiat;2010-01-01
1803011;18;03;01;1;Dębica;gmina miejska;2010-01-01
1803023;18;03;02;3;Brzostek;gmina miejsko-wiejska;2010-01-01
1803024;18;03;02;4;Brzostek;miasto;2010-01-01
1803025;18;03;02;5;Brzostek;obszar wiejski;2010-01-01
1803032;18;03;03;2;Czarna;gmina wiejska;2010-01-01
1803042;18;03;04;2;Dębica;gmina wiejska;2010-01-01
1803052;18;03;05;2;Jodłowa;gmina wiejska;2010-01-01
1803063;18;03;06;3;Pilzno;gmina miejsko-wiejska;2010-01-01
1803064;18;03;06;4;Pilzno;miasto;2010-01-01
1803065;18;03;06;5;Pilzno;obszar wiejski;2010-01-01
1803072;18;03;07;2;Żyraków;gmina wiejska;2010-01-01
1804000;18;04;00;0;jarosławski;powiat;2010-01-01
1804011;18;04;01;1;Jarosław;gmina miejska;2010-01-01
1804021;18;04;02;1;Radymno;gmina miejska;2010-01-01
1804032;18;04;03;2;Chłopice;gmina wiejska;2010-01-01
1804042;18;04;04;2;Jarosław;gmina wiejska;2010-01-01
1804052;18;04;05;2;Laszki;gmina wiejska;2010-01-01
1804062;18;04;06;2;Pawłosiów;gmina wiejska;2010-01-01
1804072;18;04;07;2;Pruchnik;gmina wiejska;2010-01-01
1804082;18;04;08;2;Radymno;gmina wiejska;2010-01-01
1804092;18;04;09;2;Rokietnica;gmina wiejska;2010-01-01
1804102;18;04;10;2;Roźwienica;gmina wiejska;2010-01-01
1804112;18;04;11;2;Wiązownica;gmina wiejska;2010-01-01
1805000;18;05;00;0;jasielski;powiat;2010-01-01
1805011;18;05;01;1;Jasło;gmina miejska;2010-01-01
1805022;18;05;02;2;Brzyska;gmina wiejska;2010-01-01
1805032;18;05;03;2;Dębowiec;gmina wiejska;2010-01-01
1805042;18;05;04;2;Jasło;gmina wiejska;2010-01-01
1805053;18;05;05;3;Kołaczyce;gmina miejsko-wiejska;2010-01-01
1805054;18;05;05;4;Kołaczyce;miasto;2010-01-01
1805055;18;05;05;5;Kołaczyce;obszar wiejski;2010-01-01
1805062;18;05;06;2;Krempna;gmina wiejska;2010-01-01
1805072;18;05;07;2;Nowy Żmigród;gmina wiejska;2010-01-01
1805082;18;05;08;2;Osiek Jasielski;gmina wiejska;2010-01-01
1805092;18;05;09;2;Skołyszyn;gmina wiejska;2010-01-01
1805112;18;05;11;2;Tarnowiec;gmina wiejska;2010-01-01
1806000;18;06;00;0;kolbuszowski;powiat;2010-01-01
1806012;18;06;01;2;Cmolas;gmina wiejska;2010-01-01
1806023;18;06;02;3;Kolbuszowa;gmina miejsko-wiejska;2010-01-01
1806024;18;06;02;4;Kolbuszowa;miasto;2010-01-01
1806025;18;06;02;5;Kolbuszowa;obszar wiejski;2010-01-01
1806032;18;06;03;2;Majdan Królewski;gmina wiejska;2010-01-01
1806042;18;06;04;2;Niwiska;gmina wiejska;2010-01-01
1806052;18;06;05;2;Raniżów;gmina wiejska;2010-01-01
1806062;18;06;06;2;Dzikowiec;gmina wiejska;2010-01-01
1807000;18;07;00;0;krośnieński;powiat;2010-01-01
1807012;18;07;01;2;Chorkówka;gmina wiejska;2010-01-01
1807023;18;07;02;3;Dukla;gmina miejsko-wiejska;2010-01-01
1807024;18;07;02;4;Dukla;miasto;2010-01-01
1807025;18;07;02;5;Dukla;obszar wiejski;2010-01-01
1807033;18;07;03;3;Iwonicz-Zdrój;gmina miejsko-wiejska;2010-01-01
1807034;18;07;03;4;Iwonicz-Zdrój;miasto;2010-01-01
1807035;18;07;03;5;Iwonicz-Zdrój;obszar wiejski;2010-01-01
1807043;18;07;04;3;Jedlicze;gmina miejsko-wiejska;2010-01-01
1807044;18;07;04;4;Jedlicze;miasto;2010-01-01
1807045;18;07;04;5;Jedlicze;obszar wiejski;2010-01-01
1807052;18;07;05;2;Korczyna;gmina wiejska;2010-01-01
1807062;18;07;06;2;Krościenko Wyżne;gmina wiejska;2010-01-01
1807072;18;07;07;2;Miejsce Piastowe;gmina wiejska;2010-01-01
1807083;18;07;08;3;Rymanów;gmina miejsko-wiejska;2010-01-01
1807084;18;07;08;4;Rymanów;miasto;2010-01-01
1807085;18;07;08;5;Rymanów;obszar wiejski;2010-01-01
1807092;18;07;09;2;Wojaszówka;gmina wiejska;2010-01-01
1807102;18;07;10;2;Jaśliska;gmina wiejska;2010-01-01
1808000;18;08;00;0;leżajski;powiat;2010-01-01
1808011;18;08;01;1;Leżajsk;gmina miejska;2010-01-01
1808022;18;08;02;2;Grodzisko Dolne;gmina wiejska;2010-01-01
1808032;18;08;03;2;Kuryłówka;gmina wiejska;2010-01-01
1808042;18;08;04;2;Leżajsk;gmina wiejska;2010-01-01
1808053;18;08;05;3;Nowa Sarzyna;gmina miejsko-wiejska;2010-01-01
1808054;18;08;05;4;Nowa Sarzyna;miasto;2010-01-01
1808055;18;08;05;5;Nowa Sarzyna;obszar wiejski;2010-01-01
1809000;18;09;00;0;lubaczowski;powiat;2010-01-01
1809011;18;09;01;1;Lubaczów;gmina miejska;2010-01-01
1809023;18;09;02;3;Cieszanów;gmina miejsko-wiejska;2010-01-01
1809024;18;09;02;4;Cieszanów;miasto;2010-01-01
1809025;18;09;02;5;Cieszanów;obszar wiejski;2010-01-01
1809032;18;09;03;2;Horyniec-Zdrój;gmina wiejska;2010-01-01
1809042;18;09;04;2;Lubaczów;gmina wiejska;2010-01-01
1809053;18;09;05;3;Narol;gmina miejsko-wiejska;2010-01-01
1809054;18;09;05;4;Narol;miasto;2010-01-01
1809055;18;09;05;5;Narol;obszar wiejski;2010-01-01
1809063;18;09;06;3;Oleszyce;gmina miejsko-wiejska;2010-01-01
1809064;18;09;06;4;Oleszyce;miasto;2010-01-01
1809065;18;09;06;5;Oleszyce;obszar wiejski;2010-01-01
1809072;18;09;07;2;Stary Dzików;gmina wiejska;2010-01-01
1809082;18;09;08;2;Wielkie Oczy;gmina wiejska;2010-01-01
1810000;18;10;00;0;łańcucki;powiat;2010-01-01
1810011;18;10;01;1;Łańcut;gmina miejska;2010-01-01
1810022;18;10;02;2;Białobrzegi;gmina wiejska;2010-01-01
1810032;18;10;03;2;Czarna;gmina wiejska;2010-01-01
1810042;18;10;04;2;Łańcut;gmina wiejska;2010-01-01
1810052;18;10;05;2;Markowa;gmina wiejska;2010-01-01
1810062;18;10;06;2;Rakszawa;gmina wiejska;2010-01-01
1810072;18;10;07;2;Żołynia;gmina wiejska;2010-01-01
1811000;18;11;00;0;mielecki;powiat;2010-01-01
1811011;18;11;01;1;Mielec;gmina miejska;2010-01-01
1811022;18;11;02;2;Borowa;gmina wiejska;2010-01-01
1811032;18;11;03;2;Czermin;gmina wiejska;2010-01-01
1811042;18;11;04;2;Gawłuszowice;gmina wiejska;2010-01-01
1811052;18;11;05;2;Mielec;gmina wiejska;2010-01-01
1811062;18;11;06;2;Padew Narodowa;gmina wiejska;2010-01-01
1811073;18;11;07;3;Przecław;gmina miejsko-wiejska;2010-01-01
1811074;18;11;07;4;Przecław;miasto;2010-01-01
1811075;18;11;07;5;Przecław;obszar wiejski;2010-01-01
1811083;18;11;08;3;Radomyśl Wielki;gmina miejsko-wiejska;2010-01-01
1811084;18;11;08;4;Radomyśl Wielki;miasto;2010-01-01
1811085;18;11;08;5;Radomyśl Wielki;obszar wiejski;2010-01-01
1811092;18;11;09;2;Tuszów Narodowy;gmina wiejska;2010-01-01
1811102;18;11;10;2;Wadowice Górne;gmina wiejska;2010-01-01
1812000;18;12;00;0;niżański;powiat;2010-01-01
1812012;18;12;01;2;Harasiuki;gmina wiejska;2010-01-01
1812022;18;12;02;2;Jarocin;gmina wiejska;2010-01-01
1812032;18;12;03;2;Jeżowe;gmina wiejska;2010-01-01
1812042;18;12;04;2;Krzeszów;gmina wiejska;2010-01-01
1812053;18;12;05;3;Nisko;gmina miejsko-wiejska;2010-01-01
1812054;18;12;05;4;Nisko;miasto;2010-01-01
1812055;18;12;05;5;Nisko;obszar wiejski;2010-01-01
1812063;18;12;06;3;Rudnik nad Sanem;gmina miejsko-wiejska;2010-01-01
1812064;18;12;06;4;Rudnik nad Sanem;miasto;2010-01-01
1812065;18;12;06;5;Rudnik nad Sanem;obszar wiejski;2010-01-01
1812073;18;12;07;3;Ulanów;gmina miejsko-wiejska;2010-01-01
1812074;18;12;07;4;Ulanów;miasto;2010-01-01
1812075;18;12;07;5;Ulanów;obszar wiejski;2010-01-01
1813000;18;13;00;0;przemyski;powiat;2010-01-01
1813012;18;13;01;2;Bircza;gmina wiejska;2010-01-01
1813022;18;13;02;2;Dubiecko;gmina wiejska;2010-01-01
1813032;18;13;03;2;Fredropol;gmina wiejska;2010-01-01
1813042;18;13;04;2;Krasiczyn;gmina wiejska;2010-01-01
1813052;18;13;05;2;Krzywcza;gmina wiejska;2010-01-01
1813062;18;13;06;2;Medyka;gmina wiejska;2010-01-01
1813072;18;13;07;2;Orły;gmina wiejska;2010-01-01
1813082;18;13;08;2;Przemyśl;gmina wiejska;2010-01-01
1813092;18;13;09;2;Stubno;gmina wiejska;2010-01-01
1813102;18;13;10;2;Żurawica;gmina wiejska;2010-01-01
1814000;18;14;00;0;przeworski;powiat;2010-01-01
1814011;18;14;01;1;Przeworsk;gmina miejska;2010-01-01
1814022;18;14;02;2;Adamówka;gmina wiejska;2010-01-01
1814032;18;14;03;2;Gać;gmina wiejska;2010-01-01
1814042;18;14;04;2;Jawornik Polski;gmina wiejska;2010-01-01
1814053;18;14;05;3;Kańczuga;gmina miejsko-wiejska;2010-01-01
1814054;18;14;05;4;Kańczuga;miasto;2010-01-01
1814055;18;14;05;5;Kańczuga;obszar wiejski;2010-01-01
1814062;18;14;06;2;Przeworsk;gmina wiejska;2010-01-01
1814073;18;14;07;3;Sieniawa;gmina miejsko-wiejska;2010-01-01
1814074;18;14;07;4;Sieniawa;miasto;2010-01-01
1814075;18;14;07;5;Sieniawa;obszar wiejski;2010-01-01
1814082;18;14;08;2;Tryńcza;gmina wiejska;2010-01-01
1814092;18;14;09;2;Zarzecze;gmina wiejska;2010-01-01
1815000;18;15;00;0;ropczycko-sędziszowski;powiat;2010-01-01
1815012;18;15;01;2;Iwierzyce;gmina wiejska;2010-01-01
1815022;18;15;02;2;Ostrów;gmina wiejska;2010-01-01
1815033;18;15;03;3;Ropczyce;gmina miejsko-wiejska;2010-01-01
1815034;18;15;03;4;Ropczyce;miasto;2010-01-01
1815035;18;15;03;5;Ropczyce;obszar wiejski;2010-01-01
1815043;18;15;04;3;Sędziszów Małopolski;gmina miejsko-wiejska;2010-01-01
1815044;18;15;04;4;Sędziszów Małopolski;miasto;2010-01-01
1815045;18;15;04;5;Sędziszów Małopolski;obszar wiejski;2010-01-01
1815052;18;15;05;2;Wielopole Skrzyńskie;gmina wiejska;2010-01-01
1816000;18;16;00;0;rzeszowski;powiat;2010-01-01
1816011;18;16;01;1;Dynów;gmina miejska;2010-01-01
1816023;18;16;02;3;Błażowa;gmina miejsko-wiejska;2010-01-01
1816024;18;16;02;4;Błażowa;miasto;2010-01-01
1816025;18;16;02;5;Błażowa;obszar wiejski;2010-01-01
1816033;18;16;03;3;Boguchwała;gmina miejsko-wiejska;2010-01-01
1816034;18;16;03;4;Boguchwała;miasto;2010-01-01
1816035;18;16;03;5;Boguchwała;obszar wiejski;2010-01-01
1816042;18;16;04;2;Chmielnik;gmina wiejska;2010-01-01
1816052;18;16;05;2;Dynów;gmina wiejska;2010-01-01
1816063;18;16;06;3;Głogów Małopolski;gmina miejsko-wiejska;2010-01-01
1816064;18;16;06;4;Głogów Małopolski;miasto;2010-01-01
1816065;18;16;06;5;Głogów Małopolski;obszar wiejski;2010-01-01
1816072;18;16;07;2;Hyżne;gmina wiejska;2010-01-01
1816082;18;16;08;2;Kamień;gmina wiejska;2010-01-01
1816092;18;16;09;2;Krasne;gmina wiejska;2010-01-01
1816102;18;16;10;2;Lubenia;gmina wiejska;2010-01-01
1816113;18;16;11;3;Sokołów Małopolski;gmina miejsko-wiejska;2010-01-01
1816114;18;16;11;4;Sokołów Małopolski;miasto;2010-01-01
1816115;18;16;11;5;Sokołów Małopolski;obszar wiejski;2010-01-01
1816122;18;16;12;2;Świlcza;gmina wiejska;2010-01-01
1816132;18;16;13;2;Trzebownisko;gmina wiejska;2010-01-01
1816143;18;16;14;3;Tyczyn;gmina miejsko-wiejska;2010-01-01
1816144;18;16;14;4;Tyczyn;miasto;2010-01-01
1816145;18;16;14;5;Tyczyn;obszar wiejski;2010-01-01
1817000;18;17;00;0;sanocki;powiat;2010-01-01
1817011;18;17;01;1;Sanok;gmina miejska;2010-01-01
1817022;18;17;02;2;Besko;gmina wiejska;2010-01-01
1817032;18;17;03;2;Bukowsko;gmina wiejska;2010-01-01
1817042;18;17;04;2;Komańcza;gmina wiejska;2010-01-01
1817052;18;17;05;2;Sanok;gmina wiejska;2010-01-01
1817062;18;17;06;2;Tyrawa Wołoska;gmina wiejska;2010-01-01
1817073;18;17;07;3;Zagórz;gmina miejsko-wiejska;2010-01-01
1817074;18;17;07;4;Zagórz;miasto;2010-01-01
1817075;18;17;07;5;Zagórz;obszar wiejski;2010-01-01
1817082;18;17;08;2;Zarszyn;gmina wiejska;2010-01-01
1818000;18;18;00;0;stalowowolski;powiat;2010-01-01
1818011;18;18;01;1;Stalowa Wola;gmina miejska;2010-01-01
1818022;18;18;02;2;Bojanów;gmina wiejska;2010-01-01
1818032;18;18;03;2;Pysznica;gmina wiejska;2010-01-01
1818042;18;18;04;2;Radomyśl nad Sanem;gmina wiejska;2010-01-01
1818052;18;18;05;2;Zaklików;gmina wiejska;2010-01-01
1818062;18;18;06;2;Zaleszany;gmina wiejska;2010-01-01
1819000;18;19;00;0;strzyżowski;powiat;2010-01-01
1819012;18;19;01;2;Czudec;gmina wiejska;2010-01-01
1819022;18;19;02;2;Frysztak;gmina wiejska;2010-01-01
1819032;18;19;03;2;Niebylec;gmina wiejska;2010-01-01
1819043;18;19;04;3;Strzyżów;gmina miejsko-wiejska;2010-01-01
1819044;18;19;04;4;Strzyżów;miasto;2010-01-01
1819045;18;19;04;5;Strzyżów;obszar wiejski;2010-01-01
1819052;18;19;05;2;Wiśniowa;gmina wiejska;2010-01-01
1820000;18;20;00;0;tarnobrzeski;powiat;2010-01-01
1820013;18;20;01;3;Baranów Sandomierski;gmina miejsko-wiejska;2010-01-01
1820014;18;20;01;4;Baranów Sandomierski;miasto;2010-01-01
1820015;18;20;01;5;Baranów Sandomierski;obszar wiejski;2010-01-01
1820022;18;20;02;2;Gorzyce;gmina wiejska;2010-01-01
1820032;18;20;03;2;Grębów;gmina wiejska;2010-01-01
1820043;18;20;04;3;Nowa Dęba;gmina miejsko-wiejska;2010-01-01
1820044;18;20;04;4;Nowa Dęba;miasto;2010-01-01
1820045;18;20;04;5;Nowa Dęba;obszar wiejski;2010-01-01
1821000;18;21;00;0;leski;powiat;2010-01-01
1821012;18;21;01;2;Baligród;gmina wiejska;2010-01-01
1821022;18;21;02;2;Cisna;gmina wiejska;2010-01-01
1821033;18;21;03;3;Lesko;gmina miejsko-wiejska;2010-01-01
1821034;18;21;03;4;Lesko;miasto;2010-01-01
1821035;18;21;03;5;Lesko;obszar wiejski;2010-01-01
1821042;18;21;04;2;Olszanica;gmina wiejska;2010-01-01
1821052;18;21;05;2;Solina;gmina wiejska;2010-01-01
1861000;18;61;00;0;Krosno;miasto na prawach powiatu;2010-01-01
1861011;18;61;01;1;Krosno;gmina miejska;2010-01-01
1862000;18;62;00;0;Przemyśl;miasto na prawach powiatu;2010-01-01
1862011;18;62;01;1;Przemyśl;gmina miejska;2010-01-01
1863000;18;63;00;0;Rzeszów;miasto na prawach powiatu;2010-01-01
1863011;18;63;01;1;Rzeszów;gmina miejska;2010-01-01
1864000;18;64;00;0;Tarnobrzeg;miasto na prawach powiatu;2010-01-01
1864011;18;64;01;1;Tarnobrzeg;gmina miejska;2010-01-01
2000000;20;00;00;0;PODLASKIE;województwo;2010-01-01
2001000;20;01;00;0;augustowski;powiat;2010-01-01
2001011;20;01;01;1;Augustów;gmina miejska;2010-01-01
2001022;20;01;02;2;Augustów;gmina wiejska;2010-01-01
2001032;20;01;03;2;Bargłów Kościelny;gmina wiejska;2010-01-01
2001043;20;01;04;3;Lipsk;gmina miejsko-wiejska;2010-01-01
2001044;20;01;04;4;Lipsk;miasto;2010-01-01
2001045;20;01;04;5;Lipsk;obszar wiejski;2010-01-01
2001052;20;01;05;2;Nowinka;gmina wiejska;2010-01-01
2001062;20;01;06;2;Płaska;gmina wiejska;2010-01-01
2001072;20;01;07;2;Sztabin;gmina wiejska;2010-01-01
2002000;20;02;00;0;białostocki;powiat;2010-01-01
2002013;20;02;01;3;Choroszcz;gmina miejsko-wiejska;2010-01-01
2002014;20;02;01;4;Choroszcz;miasto;2010-01-01
2002015;20;02;01;5;Choroszcz;obszar wiejski;2010-01-01
2002023;20;02;02;3;Czarna Białostocka;gmina miejsko-wiejska;2010-01-01
2002024;20;02;02;4;Czarna Białostocka;miasto;2010-01-01
2002025;20;02;02;5;Czarna Białostocka;obszar wiejski;2010-01-01
2002032;20;02;03;2;Dobrzyniewo Duże;gmina wiejska;2010-01-01
2002042;20;02;04;2;Gródek;gmina wiejska;2010-01-01
2002052;20;02;05;2;Juchnowiec Kościelny;gmina wiejska;2010-01-01
2002063;20;02;06;3;Łapy;gmina miejsko-wiejska;2010-01-01
2002064;20;02;06;4;Łapy;miasto;2010-01-01
2002065;20;02;06;5;Łapy;obszar wiejski;2010-01-01
2002073;20;02;07;3;Michałowo;gmina miejsko-wiejska;2010-01-01
2002074;20;02;07;4;Michałowo;miasto;2010-01-01
2002075;20;02;07;5;Michałowo;obszar wiejski;2010-01-01
2002082;20;02;08;2;Poświętne;gmina wiejska;2010-01-01
2002093;20;02;09;3;Supraśl;gmina miejsko-wiejska;2010-01-01
2002094;20;02;09;4;Supraśl;miasto;2010-01-01
2002095;20;02;09;5;Supraśl;obszar wiejski;2010-01-01
2002103;20;02;10;3;Suraż;gmina miejsko-wiejska;2010-01-01
2002104;20;02;10;4;Suraż;miasto;2010-01-01
2002105;20;02;10;5;Suraż;obszar wiejski;2010-01-01
2002112;20;02;11;2;Turośń Kościelna;gmina wiejska;2010-01-01
2002123;20;02;12;3;Tykocin;gmina miejsko-wiejska;2010-01-01
2002124;20;02;12;4;Tykocin;miasto;2010-01-01
2002125;20;02;12;5;Tykocin;obszar wiejski;2010-01-01
2002133;20;02;13;3;Wasilków;gmina miejsko-wiejska;2010-01-01
2002134;20;02;13;4;Wasilków;miasto;2010-01-01
2002135;20;02;13;5;Wasilków;obszar wiejski;2010-01-01
2002143;20;02;14;3;Zabłudów;gmina miejsko-wiejska;2010-01-01
2002144;20;02;14;4;Zabłudów;miasto;2010-01-01
2002145;20;02;14;5;Zabłudów;obszar wiejski;2010-01-01
2002152;20;02;15;2;Zawady;gmina wiejska;2010-01-01
2003000;20;03;00;0;bielski;powiat;2010-01-01
2003011;20;03;01;1;Bielsk Podlaski;gmina miejska;2010-01-01
2003021;20;03;02;1;Brańsk;gmina miejska;2010-01-01
2003032;20;03;03;2;Bielsk Podlaski;gmina wiejska;2010-01-01
2003042;20;03;04;2;Boćki;gmina wiejska;2010-01-01
2003052;20;03;05;2;Brańsk;gmina wiejska;2010-01-01
2003062;20;03;06;2;Orla;gmina wiejska;2010-01-01
2003072;20;03;07;2;Rudka;gmina wiejska;2010-01-01
2003082;20;03;08;2;Wyszki;gmina wiejska;2010-01-01
2004000;20;04;00;0;grajewski;powiat;2010-01-01
2004011;20;04;01;1;Grajewo;gmina miejska;2010-01-01
2004022;20;04;02;2;Grajewo;gmina wiejska;2010-01-01
2004032;20;04;03;2;Radziłów;gmina wiejska;2010-01-01
2004043;20;04;04;3;Rajgród;gmina miejsko-wiejska;2010-01-01
2004044;20;04;04;4;Rajgród;miasto;2010-01-01
2004045;20;04;04;5;Rajgród;obszar wiejski;2010-01-01
2004053;20;04;05;3;Szczuczyn;gmina miejsko-wiejska;2010-01-01
2004054;20;04;05;4;Szczuczyn;miasto;2010-01-01
2004055;20;04;05;5;Szczuczyn;obszar wiejski;2010-01-01
2004062;20;04;06;2;Wąsosz;gmina wiejska;2010-01-01
2005000;20;05;00;0;hajnowski;powiat;2010-01-01
2005011;20;05;01;1;Hajnówka;gmina miejska;2010-01-01
2005022;20;05;02;2;Białowieża;gmina wiejska;2010-01-01
2005032;20;05;03;2;Czeremcha;gmina wiejska;2010-01-01
2005042;20;05;04;2;Czyże;gmina wiejska;2010-01-01
2005052;20;05;05;2;Dubicze Cerkiewne;gmina wiejska;2010-01-01
2005062;20;05;06;2;Hajnówka;gmina wiejska;2010-01-01
2005073;20;05;07;3;Kleszczele;gmina miejsko-wiejska;2010-01-01
2005074;20;05;07;4;Kleszczele;miasto;2010-01-01
2005075;20;05;07;5;Kleszczele;obszar wiejski;2010-01-01
2005082;20;05;08;2;Narew;gmina wiejska;2010-01-01
2005092;20;05;09;2;Narewka;gmina wiejska;2010-01-01
2006000;20;06;00;0;kolneński;powiat;2010-01-01
2006011;20;06;01;1;Kolno;gmina miejska;2010-01-01
2006022;20;06;02;2;Grabowo;gmina wiejska;2010-01-01
2006032;20;06;03;2;Kolno;gmina wiejska;2010-01-01
2006042;20;06;04;2;Mały Płock;gmina wiejska;2010-01-01
2006053;20;06;05;3;Stawiski;gmina miejsko-wiejska;2010-01-01
2006054;20;06;05;4;Stawiski;miasto;2010-01-01
2006055;20;06;05;5;Stawiski;obszar wiejski;2010-01-01
2006062;20;06;06;2;Turośl;gmina wiejska;2010-01-01
2007000;20;07;00;0;łomżyński;powiat;2010-01-01
2007013;20;07;01;3;Jedwabne;gmina miejsko-wiejska;2010-01-01
2007014;20;07;01;4;Jedwabne;miasto;2010-01-01
2007015;20;07;01;5;Jedwabne;obszar wiejski;2010-01-01
2007022;20;07;02;2;Łomża;gmina wiejska;2010-01-01
2007032;20;07;03;2;Miastkowo;gmina wiejska;2010-01-01
2007043;20;07;04;3;Nowogród;gmina miejsko-wiejska;2010-01-01
2007044;20;07;04;4;Nowogród;miasto;2010-01-01
2007045;20;07;04;5;Nowogród;obszar wiejski;2010-01-01
2007052;20;07;05;2;Piątnica;gmina wiejska;2010-01-01
2007062;20;07;06;2;Przytuły;gmina wiejska;2010-01-01
2007072;20;07;07;2;Śniadowo;gmina wiejska;2010-01-01
2007082;20;07;08;2;Wizna;gmina wiejska;2010-01-01
2007092;20;07;09;2;Zbójna;gmina wiejska;2010-01-01
2008000;20;08;00;0;moniecki;powiat;2010-01-01
2008013;20;08;01;3;Goniądz;gmina miejsko-wiejska;2010-01-01
2008014;20;08;01;4;Goniądz;miasto;2010-01-01
2008015;20;08;01;5;Goniądz;obszar wiejski;2010-01-01
2008022;20;08;02;2;Jasionówka;gmina wiejska;2010-01-01
2008032;20;08;03;2;Jaświły;gmina wiejska;2010-01-01
2008043;20;08;04;3;Knyszyn;gmina miejsko-wiejska;2010-01-01
2008044;20;08;04;4;Knyszyn;miasto;2010-01-01
2008045;20;08;04;5;Knyszyn;obszar wiejski;2010-01-01
2008052;20;08;05;2;Krypno;gmina wiejska;2010-01-01
2008063;20;08;06;3;Mońki;gmina miejsko-wiejska;2010-01-01
2008064;20;08;06;4;Mońki;miasto;2010-01-01
2008065;20;08;06;5;Mońki;obszar wiejski;2010-01-01
2008072;20;08;07;2;Trzcianne;gmina wiejska;2010-01-01
2009000;20;09;00;0;sejneński;powiat;2010-01-01
2009011;20;09;01;1;Sejny;gmina miejska;2010-01-01
2009022;20;09;02;2;Giby;gmina wiejska;2010-01-01
2009032;20;09;03;2;Krasnopol;gmina wiejska;2010-01-01
2009042;20;09;04;2;Puńsk;gmina wiejska;2010-01-01
2009052;20;09;05;2;Sejny;gmina wiejska;2010-01-01
2010000;20;10;00;0;siemiatycki;powiat;2010-01-01
2010011;20;10;01;1;Siemiatycze;gmina miejska;2010-01-01
